"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6102","Logo Test","chromium","Fri May 15 11:52:42 NPT 2026","passed","Fri May 15 11:52:48 NPT 2026","","Reporter\Reporter.spec.ts","",""
"","6022","Search Test","chromium","Fri May 15 11:52:56 NPT 2026","passed","Fri May 15 11:53:02 NPT 2026","","Reporter\Reporter.spec.ts","",""
"","5281","Title Test","chromium","Fri May 15 11:52:51 NPT 2026","passed","Fri May 15 11:52:56 NPT 2026","","Reporter\Reporter.spec.ts","",""
